"state","year","income"
"New Mexico",2008,"42,102"
"New York",2008,"50,461"
"North Carolina",2008,"42,930"
"North Dakota",2008,"49,631"
"Ohio",2008,"46,934"
"Oklahoma",2008,"46,111"
"Oregon",2008,"51,727"
"Pennsylvania",2008,"51,402"
"Rhode Island",2008,"53,241"
"South Carolina",2008,"42,155"
"South Dakota",2008,"51,600"
"Tennessee",2008,"39,702"
"Texas",2008,"46,490"
"Utah",2008,"62,537"
"Vermont",2008,"50,706"
"Virginia",2008,"61,985"
"Washington",2008,"56,631"
"West Virginia",2008,"37,994"
"Wisconsin",2008,"51,200"
"Wyoming",2008,"53,337"
"United States",2007,"50,233"
"Alabama",2007,"42,212"
"Alaska",2007,"62,993"
"Arizona",2007,"47,215"
"Arkansas",2007,"40,795"
"California",2007,"55,734"
"Colorado",2007,"61,141"
"Connecticut",2007,"64,141"
"Delaware",2007,"54,589"
"District of Columbia",2007,"50,783"
"Florida",2007,"45,794"
"Georgia",2007,"48,641"
"Hawaii",2007,"64,022"
"Idaho",2007,"49,184"
"Illinois",2007,"52,506"
"Indiana",2007,"47,453"
"Iowa",2007,"48,908"
"Kansas",2007,"48,497"
"Kentucky",2007,"39,452"
"Louisiana",2007,"41,313"
"Maine",2007,"47,894"
"Maryland",2007,"65,630"
"Massachusetts",2007,"58,463"
"Michigan",2007,"49,370"
"Minnesota",2007,"58,058"
"Mississippi",2007,"37,279"
"Missouri",2007,"46,005"
"Montana",2007,"43,655"
"Nebraska",2007,"49,174"
"Nevada",2007,"54,058"
"New Hampshire",2007,"67,576"
"New Jersey",2007,"60,508"
"New Mexico",2007,"44,356"
"New York",2007,"48,944"
"North Carolina",2007,"43,513"
"North Dakota",2007,"47,205"
"Ohio",2007,"49,099"
"Oklahoma",2007,"43,216"
"Oregon",2007,"50,236"
"Pennsylvania",2007,"48,437"
"Rhode Island",2007,"54,210"
"South Carolina",2007,"44,213"
"South Dakota",2007,"46,418"
"Tennessee",2007,"41,195"
"Texas",2007,"46,053"
"Utah",2007,"53,529"
"Vermont",2007,"47,390"
"Virginia",2007,"59,161"
"Washington",2007,"58,080"
"West Virginia",2007,"42,091"
"Wisconsin",2007,"51,277"
"Wyoming",2007,"48,744"
"United States",2006,"48,201"
"Alabama",2006,"37,952"
"Alaska",2006,"56,418"
"Arizona",2006,"46,657"
"Arkansas",2006,"37,057"
"California",2006,"55,319"
"Colorado",2006,"55,697"
"Connecticut",2006,"62,404"
"Delaware",2006,"52,438"
"District of Columbia",2006,"48,477"
"Florida",2006,"45,676"
"Georgia",2006,"49,344"
"Hawaii",2006,"60,470"
"Idaho",2006,"46,213"
"Illinois",2006,"48,671"
"Indiana",2006,"45,407"
"Iowa",2006,"48,126"
"Kansas",2006,"45,552"
"Kentucky",2006,"39,485"
"Louisiana",2006,"36,488"
"Maine",2006,"45,642"
"Maryland",2006,"63,668"
"Massachusetts",2006,"55,330"
"Michigan",2006,"48,647"
"Minnesota",2006,"56,211"
"Mississippi",2006,"34,733"
"Missouri",2006,"44,579"
"Montana",2006,"41,105"
"Nebraska",2006,"48,145"
"Nevada",2006,"52,282"
"New Hampshire",2006,"61,970"
"New Jersey",2006,"68,059"
"New Mexico",2006,"40,028"
"New York",2006,"48,222"
"North Carolina",2006,"39,797"
"North Dakota",2006,"41,047"
"Ohio",2006,"45,900"
"Oklahoma",2006,"38,838"
"Oregon",2006,"47,091"
"Pennsylvania",2006,"48,477"
"Rhode Island",2006,"53,736"
"South Carolina",2006,"39,617"
"South Dakota",2006,"45,427"
"Tennessee",2006,"40,693"
"Texas",2006,"43,307"
"Utah",2006,"54,628"
"Vermont",2006,"51,981"
"Virginia",2006,"57,119"
"Washington",2006,"54,723"
"West Virginia",2006,"38,419"
