STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
Maine,2004,201594,2228749,2291174
Maryland,2004,869113,9123493,8921938
Massachusetts,2004,962488,11979937,12033345
Michigan,2004,1738976,18663799,20060708
Minnesota,2004,822245,8688315,8963393
Mississippi,2004,492557,3481643,3473928
Missouri,2004,914055,7893957,7896438
Montana,2004,148168,1270790,1241417
Nebraska,2004,284170,2734724,2667987
Nevada,2004,385414,3069531,3228619
New Hampshire,2004,203359,2194562,2236010
New Jersey,2004,1363189,21398391,21467607
New Mexico,2004,323066,2855893,2882631
New York,2004,2842785,40820776,42953568
North Carolina,2004,1325707,10569600,10263463
North Dakota,2004,101889,925393,957480
Ohio,2004,1797666,18878773,19375400
Oklahoma,2004,625826,4622080,4400069
Oregon,2004,549196,5086083,5393871
Pennsylvania,2004,1756012,21104028,22054811
Rhode Island,2004,156997,1836758,1745707
South Carolina,2004,696376,5961494,6138231
South Dakota,2004,125156,1007135,1012096
Tennessee,2004,911624,6349101,6738601
Texas,2004,4267330,36055119,38150452
Utah,2004,487311,2997200,3066684
Vermont,2004,93705,1525776,1550157
Virginia,2004,1191035,11151172,11404055
Washington,2004,1020990,8790531,9009980
West Virginia,2004,280561,2585084,2603996
Wisconsin,2004,874233,9183588,9126345
Wyoming,2004,86925,974888,953916
Alabama,2005,729342,5889966,5904664
Alaska,2005,132568,1599739,1751718
Arizona,2005,919875,7550109,7136794
Arkansas,2005,461667,3978240,3999608
California,2005,6307022,62171797,66196072
Colorado,2005,765388,6910296,7284280
Connecticut,2005,552512,7898694,7452057
Delaware,2005,112562,1431710,1480157
District of Columbia,2005,62306,1109605,1085658
Florida,2005,2645280,23216404,23857012
Georgia,2005,1552758,14724731,14492666
Hawaii,2005,183185,2274166,1765805
Idaho,2005,253782,1796035,1819519
Illinois,2005,2072437,21611180,22035569
Indiana,2005,1014528,11653165,11071431
Iowa,2005,478319,4638125,4599549
Kansas,2005,468481,4223632,4076597
Kentucky,2005,674502,5444309,5750671
Louisiana,2005,717625,5975074,5941561
Maine,2005,198745,2324789,2325138
Maryland,2005,865561,9906219,9782665
Massachusetts,2005,955225,12976279,12726283
Michigan,2005,1721351,19106382,20489512
Minnesota,2005,814660,8777363,9082593
Mississippi,2005,494382,3639643,3610904
Missouri,2005,902659,8340865,8170965
Montana,2005,146552,1293070,1268328
Nebraska,2005,284553,2895640,2708776
Nevada,2005,399727,3381646,3483540
New Hampshire,2005,202223,2332695,2333264
