"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income"
1989,"AK","Alaska",527000,2623,42,279,356,1946,22567,4358,15811,2398,"36,006"
1989,"AL","Alabama",4118000,24329,421,1276,5515,17117,166244,47224,106771,12249,"21,284"
1989,"AR","Arkansas",2406000,11397,203,924,2660,7610,98213,28738,63084,6391,"21,433"
1989,"AZ","Arizona",3556000,21320,237,1286,4944,14853,265284,59284,181574,24426,"28,552"
1989,"CA","California",29063000,284136,3158,11966,96431,172581,1681516,410468,972603,298445,"33,009"
1989,"CO","Colorado",3317000,15636,146,1202,2984,11304,184692,41475,128195,15022,"26,806"
1989,"CT","Connecticut",3239000,16576,190,892,6956,8538,154119,40035,91483,22601,"42,321"
1989,"DC","District of Columbia",604000,12937,434,186,6542,5775,49235,11780,29164,8291,"26,752"
1989,"DE","Delaware",673000,3745,34,569,934,2208,28998,6072,20294,2632,"32,068"
1989,"FL","Florida",12671000,140575,1405,6299,51188,81683,975042,289254,583702,102086,"26,085"
1989,"GA","Georgia",6436000,47357,820,3150,17450,25937,407868,110215,255578,42075,"27,542"
1989,"HI","Hawaii",1112000,3004,53,496,925,1530,66723,14939,47374,4410,"35,035"
1989,"IA","Iowa",2840000,7563,54,459,1108,5942,108349,24052,79801,4496,"26,265"
1989,"ID","Idaho",1014000,2582,26,236,152,2168,37278,8843,26825,1610,"24,654"
1989,"IL","Illinois",11658000,98611,1051,4161,39138,54261,558803,125441,362556,70806,"31,300"
1989,"IN","Indiana",5593000,22735,353,1804,5671,14907,225592,54201,149514,21877,"25,898"
1989,"KS","Kansas",2513000,10073,138,917,2508,6510,115146,29871,77802,7473,"26,862"
1989,"KY","Kentucky",3727000,13302,293,917,2836,9256,110328,30526,71611,8191,"23,283"
1989,"LA","Louisiana",4382000,34257,653,1675,10397,21532,239235,64184,152209,22842,"22,861"
1989,"MA","Massachusetts",5913000,39912,254,1881,11980,25797,263780,63004,146925,53851,"36,086"
1989,"MD","Maryland",4694000,40152,544,1783,15589,22236,220955,52735,137043,31177,"36,016"
1989,"ME","Maine",1222000,1676,39,229,293,1115,42116,9810,30067,2239,"28,221"
1989,"MI","Michigan",9273000,65760,993,6624,20616,37527,487682,113579,307096,67007,"30,775"
1989,"MN","Minnesota",4353000,12549,111,1363,4128,6947,178252,39042,122673,16537,"30,185"
1989,"MO","Missouri",5159000,32634,409,1587,10060,20578,231874,58594,146269,27011,"26,497"
1989,"MT","Montana",806000,935,23,145,137,630,31285,5575,23892,1818,"23,692"
1989,"NC","North Carolina",6571000,35902,584,1964,8770,24584,309323,98792,191783,18748,"26,406"
1989,"ND","North Dakota",660000,417,4,78,61,274,16485,2369,13370,746,"25,229"
1989,"NE","Nebraska",1611000,4503,40,381,837,3245,61413,12010,46403,3000,"26,319"
1989,"NH","New Hampshire",1107000,1865,36,327,264,1238,37945,8157,27087,2701,"37,532"
1989,"NJ","New Jersey",7736000,47111,394,2449,21139,23129,360532,75548,213878,71106,"39,120"
1989,"NM","New Mexico",1528000,10755,132,702,1607,8314,89693,26146,58201,5346,"22,602"
