"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
2012,"GA","Georgia",9915646,37675,583,2143,12502,22447,339473,86992,223875,28606,"48,121",37.37309768
2012,"HI","Hawaii",1390090,3378,21,279,1125,1953,43419,7653,31901,3865,"56,263",42.6090977
2012,"IA","Iowa",3075039,8167,49,901,962,6255,70357,17201,49116,4040,"53,442",41.80952229
2012,"ID","Idaho",1595590,3348,30,495,243,2580,31825,7240,23203,1382,"47,922",36.07902174
2012,"IL","Illinois",12868192,53556,770,3581,19480,29725,332706,71100,235314,26292,"51,738",42.5212325
2012,"IN","Indiana",6537782,22544,307,1661,6601,13975,197994,47689,136668,13637,"46,158",34.39148741
2012,"KS","Kansas",2885398,10292,85,1105,1493,7609,91066,18874,65413,6779,"50,003",41.33383254
2012,"KY","Kentucky",4379730,9852,201,1312,3547,4792,112800,29877,76199,6724,"41,086",31.68803985
2012,"LA","Louisiana",4602134,22839,489,1155,5458,15737,162673,42037,112764,7872,"39,085",29.06613308
2012,"MA","Massachusetts",6645303,27047,121,1650,6555,18721,143325,34635,99453,9237,"63,656",50.45795141
2012,"MD","Maryland",5884868,28086,373,1237,10173,16303,162309,33803,113550,14956,"71,836",45.53911662
2012,"ME","Maine",1328501,1626,26,372,420,808,33398,7476,24931,991,"49,158",38.96114523
2012,"MI","Michigan",9882519,44962,701,4635,10423,29203,249249,65560,158609,25080,"50,015",37.40718891
2012,"MN","Minnesota",5379646,12419,99,1638,3475,7207,138152,25378,104316,8458,"61,795",47.67039822
2012,"MO","Missouri",6024522,27189,390,1527,5782,19490,199813,42510,140971,16332,"49,764",36.59924646
2012,"MS","Mississippi",2986450,7769,213,819,2277,4460,83933,28084,51520,4329,"36,641",31.0556146
2012,"MT","Montana",1005494,2803,29,392,202,2180,26102,3920,20484,1698,"45,088",39.83017314
2012,"NC","North Carolina",9748364,34464,479,1984,9392,22609,328594,99323,213151,16120,"41,553",38.44129209
2012,"ND","North Dakota",701345,1723,25,279,127,1292,14297,2429,10687,1181,"55,766",45.64747214
2012,"NE","Nebraska",1855350,4802,52,710,1128,2912,51203,8745,38301,4157,"52,196",42.95342002
2012,"NH","New Hampshire",1321617,2841,15,486,471,1869,32074,5988,25024,1062,"67,819",46.68759111
2012,"NJ","New Jersey",8867749,25727,388,1035,11385,12919,181481,42338,122662,16481,"66,692",45.81716169
2012,"NM","New Mexico",2083540,11660,116,957,1847,8740,75094,21384,48247,5463,"43,424",35.09012524
2012,"NV","Nevada",2754354,16763,124,931,4918,10790,77510,22120,45372,10018,"47,333",30.06138449
2012,"NY","New York",19576125,79535,683,2837,28633,47382,375268,64389,293562,17317,"47,680",45.09701146
2012,"OH","Ohio",11553031,34827,478,3813,15396,15140,370435,105312,245372,19751,"44,375",36.54268377
2012,"OK","Oklahoma",3815780,18102,220,1622,3248,13012,130969,36094,83131,11744,"48,407",32.90298645
2012,"OR","Oregon",3899801,9638,91,1159,2419,5969,126417,22051,94114,10252,"51,775",39.80304094
2012,"PA","Pennsylvania",12764475,45384,707,3371,15735,25571,276562,57040,204409,15113,"51,904",39.66533356
2012,"RI","Rhode Island",1050304,2657,26,292,715,1614,27039,5929,18478,2632,"56,065",43.21794719
2012,"SC","South Carolina",4723417,26474,332,1712,4511,19919,181049,45222,122340,13487,"44,401",36.05285651
2012,"SD","South Dakota",834047,2701,23,600,157,1921,17326,3280,12973,1073,"49,415",39.59475425
