"state","year","ENROLL","TOTAL_REVENUE","TOTAL_EXPENDITURE","state_abbr","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
"Colorado",2010,825242,8793676,8914338,"CO",5047692,16339,129,2230,3164,10816,135001,26196,97534,11271,"60,233",45.98093867
"Connecticut",2010,534800,9726922,9542108,"CT",3575498,10083,133,595,3553,5802,78259,15145,56413,6701,"65,998",45.83907425
"Delaware",2010,117628,1733458,1758988,"DE",899792,5608,51,326,1839,3392,31078,7550,21593,1935,"55,214",37.43361574
"District of Columbia",2010,43866,1195934,1290048,"DC",604912,8026,132,187,4325,3382,28802,4233,19514,5055,"56,928",56.50221505
"Florida",2010,2627390,26231141,27267009,"FL",18838613,101969,987,5373,26086,69523,669035,169119,458454,41462,"44,066",36.49537229
"Georgia",2010,1660643,17839851,17834488,"GA",9712157,39068,555,2107,12372,24034,353449,96947,226161,30341,"44,117",36.11967184
"Hawaii",2010,180196,2564856,2215458,"HI",1363359,3603,25,377,1065,2136,45667,8706,31681,5280,"59,539",41.62241596
"Idaho",2010,266613,2177999,2098737,"ID",1571102,3464,22,533,213,2696,31436,6513,23594,1329,"47,050",34.73023611
"Illinois",2010,2098401,28253620,28560306,"IL",12841980,57132,704,3066,20386,32976,349064,77472,242681,28911,"50,728",41.30366052
"Indiana",2010,1026053,14023240,11502534,"IN",6490622,20983,268,1760,6559,12396,199274,48570,137204,13500,"46,139",33.24119148
"Iowa",2010,491255,5744872,5941449,"IA",3050202,8191,38,883,1012,6258,68740,16746,48194,3800,"49,016",39.68346614
"Kansas",2010,471406,5454128,5979429,"KS",2859143,10602,97,1146,1538,7821,89109,19315,63774,6020,"46,054",40.49728867
"Kentucky",2010,679901,6881951,7092071,"KY",4347223,10604,188,1438,3748,5230,111170,30443,74488,6239,"41,104",30.03756368
"Louisiana",2010,663802,8091029,8125021,"LA",4545343,25241,500,1230,5297,18214,165667,45437,110260,9970,"39,300",28.22922176
"Maine",2010,187634,2721365,2680693,"ME",1327379,1621,24,389,412,796,32900,7364,24547,989,"47,931",38.75280237
"Maryland",2010,848252,13327770,13205691,"MD",5785681,31607,426,1228,11054,18899,173309,36704,118578,18027,"64,201",44.67900135
"Massachusetts",2010,929569,14919763,14857823,"MA",6555466,30737,214,1784,6897,21842,154496,37903,105124,11469,"60,934",50.53735354
"Michigan",2010,1510716,19393461,19967017,"MI",9877143,48693,580,4733,11522,31858,271501,74345,169748,27408,"46,276",36.37950263
"Minnesota",2010,799615,10383935,10564774,"MN",5310658,12515,96,1798,3388,7233,136431,24415,103429,8587,"52,321",45.78697418
"Mississippi",2010,491651,4466377,4504257,"MS",2970072,7999,204,931,2777,4087,88596,30453,52784,5359,"38,160",29.85923176
"Missouri",2010,897348,9587703,10139784,"MO",5995715,27440,420,1445,6185,19390,200858,44197,140526,16135,"45,817",35.82338945
"Montana",2010,141693,1623971,1642886,"MT",990958,2733,25,332,154,2222,25409,3692,20166,1551,"41,280",39.96380301
"Nebraska",2010,294948,3720560,3640199,"NE",1830141,5093,54,674,1020,3345,48827,8318,36896,3613,"52,504",41.99080392
"Nevada",2010,423859,4262471,4260869,"NV",2704283,17929,158,965,5298,11508,75004,22286,42533,10185,"51,200",29.45657027
"New Hampshire",2010,196648,2906573,2856965,"NH",1316807,2204,13,411,450,1330,29230,5444,22789,997,"66,633",45.84593452
"New Jersey",2010,1369553,26676217,26736651,"NJ",8799593,27055,371,981,11818,13885,183042,38732,128754,15556,"62,968",45.29824426
"New Mexico",2010,331436,3638606,3814058,"NM",2065913,12147,140,959,1616,9432,70776,21023,44503,5250,"45,134",33.08416405
"New York",2010,2697357,55453300,60067253,"NY",19395206,76492,868,2797,28630,44197,379710,65839,293232,20639,"49,781",44.14718416
"North Carolina",2010,1444409,16621268,14162497,"NC",9560234,34679,474,2002,9620,22583,329202,102826,208057,18319,"43,830",37.64394202
"North Dakota",2010,94997,1308214,1267426,"ND",674629,1548,10,245,90,1203,12010,2000,9137,873,"51,006",44.94231176
"Ohio",2010,1669748,23247907,22701333,"OH",11537968,36306,479,3730,16486,15611,376836,107125,248581,21130,"45,886",35.78929597
"Oklahoma",2010,653592,5778507,5971651,"OK",3760184,18100,195,1469,3345,13091,129464,37848,81303,10313,"43,103",31.72864727
"Oregon",2010,560239,6219779,6398065,"OR",3838332,9648,96,1239,2421,5892,116657,20035,87494,9128,"50,602",38.5544086
"Pennsylvania",2010,1682887,27883991,28231191,"PA",12717722,46612,653,3472,16375,26112,276366,55206,204440,16720,"48,314",38.57736596
"Rhode Island",2010,141023,2207123,2187163,"RI",1052528,2709,29,298,782,1600,26959,6124,18432,2403,"51,623",41.21883269
"South Carolina",2010,715590,7755419,8242553,"SC",4637106,27923,265,1551,5017,21090,181098,46261,121544,13293,"41,698",34.809486
"South Dakota",2010,123555,1292742,1281632,"SD",816598,2196,23,385,154,1634,15188,3192,11196,800,"45,352",40.76584184
"Tennessee",2010,971414,8405025,8760367,"TN",6357436,38909,359,2173,8361,28016,232855,64293,153729,14833,"38,591",31.85587215
"Texas",2010,4728815,50559500,53810244,"TX",25253466,113231,1249,7622,32843,71517,951246,228597,654626,68023,"47,266",33.65564325
"Utah",2010,538676,4250259,4326951,"UT",2775479,5925,53,983,1269,3620,88316,15095,67242,5979,"56,701",39.74523697
"Vermont",2010,87750,1749898,1719870,"VT",625909,820,7,141,76,596,14160,3348,10373,439,"55,928",44.08097442
"Virginia",2010,1244673,14937195,14919831,"VA",8023953,17184,376,1580,5678,9550,187403,30804,145990,10609,"60,367",43.85009356
"Washington",2010,1034735,11919090,11820814,"WA",6742950,21138,154,2579,5929,12476,249426,55192,168490,25744,"56,163",42.50297732
"West Virginia",2010,281828,3176874,3484593,"WV",1854368,5586,58,362,776,4390,41301,10778,28104,2419,"42,777",26.08285373
"Wisconsin",2010,864898,11289720,11116821,"WI",5691659,14167,155,1191,4516,8305,142781,26636,107993,8152,"50,351",39.06981132
"Wyoming",2010,87379,1718605,1696177,"WY",564554,1117,8,162,77,870,13869,2151,11126,592,"52,201",37.34643326
"Alabama",2011,746933,7376725,7411768,"AL",4803689,20166,299,1370,4906,13591,173192,51119,111411,10662,"42,590",31.90540343
"Alaska",2011,131704,2357828,2443898,"AK",723860,4416,30,436,576,3374,19094,2852,14854,1388,"57,431",34.41950338
"Arizona",2011,946571,8429186,8610417,"AZ",6467315,26789,397,2499,7145,16748,229896,54695,155400,19801,"48,621",35.76374591
"Arkansas",2011,475551,5176362,5669431,"AR",2938582,14173,160,1230,2357,10426,110430,34016,70645,5769,"41,302",28.18071273
"California",2011,6202604,70953331,69847705,"CA",37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842,"53,367",38.90135893
"Colorado",2011,834832,8747471,8676451,"CO",5116302,16085,155,2285,3299,10346,132781,25725,96054,11002,"58,629",46.98424113
"Connecticut",2011,530132,9783168,9439182,"CT",3586717,9889,129,689,3689,5382,77205,15468,55067,6670,"65,415",46.4027839
"Delaware",2011,119878,1759170,1808905,"DE",908137,5144,48,307,1558,3231,31163,7617,22001,1545,"54,660",37.59555582
"District of Columbia",2011,44199,1283071,1297175,"DC",619020,7433,108,173,4094,3058,29654,3850,21347,4457,"55,251",57.98595906
"Florida",2011,2636404,26453693,26991946,"FL",19082262,98198,984,5273,25622,66319,671200,170171,461408,39621,"45,105",36.95783466
"Georgia",2011,1666039,18030043,17187481,"GA",9812460,36762,549,2066,12266,21881,357235,96014,231543,29678,"45,973",36.3662717
"Hawaii",2011,179601,2499513,2259104,"HI",1378129,3465,20,353,994,2098,43874,8165,31240,4469,"59,047",41.55083331
"Idaho",2011,265713,2089982,1960818,"ID",1583744,3202,35,444,188,2535,32875,6915,24629,1331,"47,459",36.46644186
"Illinois",2011,2072114,29507584,28525858,"IL",12859752,54523,781,3030,20217,30495,344468,77719,237362,29387,"50,637",41.7466299
"Indiana",2011,1023220,12125155,11113533,"IN",6516353,21619,306,1758,6977,12578,206016,50571,140630,14815,"44,445",33.80980163
"Iowa",2011,493493,6098470,6057294,"IA",3064097,7883,44,866,824,6149,72043,17573,50472,3998,"50,219",41.14056562
"Kansas",2011,482692,5538869,5662146,"KS",2870386,10209,111,1122,1448,7528,88655,18712,63259,6684,"46,147",40.67272733
"Kentucky",2011,672958,7104589,7253850,"KY",4366814,10465,151,1499,3705,5110,119037,32750,79586,6701,"39,856",30.76912835
"Louisiana",2011,665109,8022917,8218870,"LA",4574766,25373,506,1262,5235,18370,168529,46242,113174,9113,"40,658",27.86435311
"Maine",2011,186835,2654366,2728535,"ME",1328544,1638,26,394,370,848,33829,7865,24886,1078,"49,693",40.02625378
"Maryland",2011,851971,13443940,13247697,"MD",5839572,28817,399,1200,10342,16876,166846,35823,114951,16072,"68,876",45.42077039
"Massachusetts",2011,924903,15396681,15150898,"MA",6607003,28232,184,1654,6768,19626,148829,36403,101644,10782,"63,313",50.76663225
"Michigan",2011,1455966,19374026,18469948,"MI",9876801,43731,617,4344,10263,28507,251329,69755,156666,24908,"48,879",36.84311024
"Minnesota",2011,798891,10912368,10612480,"MN",5347299,12323,75,2113,3385,6750,136183,25681,102354,8148,"57,820",46.5780542
"Mississippi",2011,490526,4516742,4345783,"MS",2977457,8009,232,863,2496,4418,89809,30722,54179,4908,"41,090",30.27440133
"Missouri",2011,896702,9915356,9842505,"MO",6008984,26888,366,1469,6275,18778,199085,44875,138879,15331,"45,774",36.3512738
"Montana",2011,141529,1631810,1655584,"MT",997667,2755,29,366,171,2189,23885,3347,19089,1449,"40,277",39.16438609
"Nebraska",2011,297659,3879388,3676326,"NE",1842234,4672,68,699,993,2912,50894,8725,38060,4109,"55,616",41.48650291
"Nevada",2011,429610,4146577,4258855,"NV",2720028,15452,139,913,4308,10092,70075,20342,40156,9577,"47,043",29.95765707
"New Hampshire",2011,189275,2947007,3001244,"NH",1317807,2864,16,581,509,1758,32756,6244,25398,1114,"65,880",45.77566038
"New Jersey",2011,1399409,26242376,25716298,"NJ",8834773,27203,380,1006,12209,13608,189719,43238,129066,17415,"62,338",45.06403409
"New Mexico",2011,331373,3591330,3694437,"NM",2078674,11904,158,856,1720,9170,73549,21419,46730,5400,"41,982",33.90515988
"New York",2011,2677412,57753776,59446908,"NY",19501616,77463,769,2751,28405,45538,371837,65227,287361,19249,"50,636",44.57864132
"North Carolina",2011,1448117,14409515,13767024,"NC",9651103,33421,498,1959,9448,21516,337806,105534,215453,16819,"45,206",38.24108244
"North Dakota",2011,96255,1309044,1312226,"ND",684740,1699,24,266,91,1318,13334,2458,9891,985,"56,361",44.71716296
"Ohio",2011,1655534,23488657,23010396,"OH",11541007,35218,500,3679,15991,15048,380572,112901,246744,20927,"44,648",35.50793736
"Oklahoma",2011,658163,5835133,5644988,"OK",3784163,17311,212,1410,3288,12401,127618,36462,80064,11092,"48,455",32.96285594
"Oregon",2011,559631,6112484,6317635,"OR",3868229,9643,84,1239,2237,6083,121869,20704,92059,9106,"51,526",39.00961593
"Pennsylvania",2011,1670854,28492510,28810721,"PA",12743948,46189,639,3339,16165,26046,283442,57966,208604,16872,"49,910",38.56946795
"Rhode Island",2011,139157,2212352,2198940,"RI",1050646,2586,20,319,744,1503,27976,6836,18765,2375,"49,033",43.15981876
"South Carolina",2011,713511,7772777,7961448,"SC",4673348,27894,320,1678,4631,21265,183243,47351,122255,13637,"40,084",34.17085939
"South Dakota",2011,125613,1297661,1350617,"SD",823593,2105,20,503,167,1415,15299,2927,11423,949,"47,223",39.4242306
"Tennessee",2011,986382,8679893,8961443,"TN",6399787,38895,380,2095,8082,28338,230900,62830,153928,14142,"42,279",32.14821634
"Texas",2011,4800196,51023159,52691826,"TX",25631778,104734,1130,7486,28620,67498,892810,215755,613131,63924,"49,047",34.4877136
"Utah",2011,545395,4141253,4195916,"UT",2814347,5547,50,901,1079,3517,84084,13170,64727,6187,"55,493",40.33594403
"Vermont",2011,86982,1686499,1722515,"VT",626592,925,11,146,99,669,15086,3838,10720,528,"51,862",46.2272478
"Virginia",2011,1250852,14655345,14675815,"VA",8104384,16014,304,1591,5425,8694,182902,30656,142476,9770,"62,616",44.95640136
"Washington",2011,1042979,11905941,11928408,"WA",6823267,20152,163,2320,5627,12042,244209,56561,162828,24820,"56,850",43.28768897
"West Virginia",2011,282130,3475642,3670119,"WV",1854908,5497,87,372,802,4236,39009,10245,26656,2108,"41,821",27.79446882
"Wisconsin",2011,864251,11664303,11440718,"WI",5709843,14268,138,1190,4600,8340,139912,27167,104472,8273,"52,058",39.55676554
"Wyoming",2011,88165,1650621,1656850,"WY",567356,1245,18,146,71,1010,12878,1864,10493,521,"54,509",36.15961578
"Alabama",2012,744621,7136949,7222161,"AL",4817528,21693,342,1296,5020,15035,168878,47481,111523,9874,"43,464",33.05444933
"Alaska",2012,130771,2383402,2483320,"AK",730307,4412,30,583,630,3169,20037,2950,15565,1522,"63,648",37.02913224
"Arizona",2012,942738,7934798,8054662,"AZ",6551149,28077,358,2282,7383,18054,231701,52911,159808,18982,"47,044",36.67619716
"Arkansas",2012,475671,5169926,5299969,"AR",2949828,13851,174,1233,2310,10134,109389,32673,70982,5734,"39,018",29.30201721
"California",2012,6203034,69016392,70191877,"CA",37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608,"57,020",39.6946075
